Song,Film,Year
Duniya Me Tera Hai Bada Naam,Loafer,1973.0
Duniya Na Bhaaye Mohe Ab To Bula Le,Basant Bahar,1956.0
Dushman Hai Zamaana Thenge Se,Patthar Ke Sanam,1967.0
Ek Batta Do Do Batte Chaar,Kalicharan,1976.0
Ek Bewafa Se Pyar Kiya,Awaara,1951.0
Ek Daal Par Tota Bole,Chore Machaye Shor,1974.0
Ek Dil Hai Ek Jaan Hai,Padmaavat,2018.0
Ek Din Teri Raahon Me,Naqaab,2007.0
Ek Do Teen-Tezaab,Tezaab,1988.0
Ek Ladki Ko Dekha To,1942: A Love Story,1994.0
Ek Manzil Raahi Do,Sanjog,1961.0
Ek Pyar Ka Nagma Hai,Shor,1972.0
Ek Tha Gul Aur Ek Thi Bulbul,Jab Jab Phool Khile,1965.0
Ek Tu Jo Mila,Himalay Ki God Mein,1965.0
Ek Tu Na Mila,Himalay Ki God Mein,1965.0
Eyy Bidda Ye Mera Adda,Pushpa: The Rise,2021.0
Ek Gora Ek Kaala,Gora Aur Kala,1972.0
Falak Se Tod Kar Dekho,Aan Milo Sajna,1970.0
Filhall,Non Filmy,2020.0
First Class,Kalank,2019.0
Filhaal 2 Mohabbat,Non Filmy,2021.0
Gaadi Bula Rahi Hai Seeti Baja Rahi Hai,Dost,1974.0
Gaadi Waale Gaadi Dheere Haank Re,Mother India,1957.0
Gaddi Jaandi Hai Chhalaanga Maardi,Dada,1979.0
Gali Gali Seeta Roye,Chhalia,1960.0
Ganga Aaye Kahaan Se,Kabuliwala,1961.0
Garda,Atrangi Re,2021.0
Garibo Ki Suno (Female),Dus Lakh,1966.0
Garibo Ki Suno Wo Tumhaari Sunega,Dus Lakh,1966.0
Geet Gaata Hoon Main,Laal Patthar,1971.0
Geet Tere Saaz Ka,Intaqam,1969.0
Ghadi Ghadi Mera Dil Dhadke,Madhumati,1958.0
Gham Ka Fasasna Ban Gaya Achchha,Manchali,1973.0
Ghar Aa Ja Pardesi,Dilwale Dulhania Le Jayenge,1995.0
Ghar More Pardesiya,Kalank,2019.0
Ghoomar,Padmaavat,2018.0
Ghunghroo Ki Terah,Chor Machaye Shor,1974.0
Gir Gaya Jhumka,Jugnu,1973.0
Gokul Ki Galiyon Ka Gwaala,Raaste Pyar Ka,1982.0
Gore Gore O Baanke Chhore,Samadhi,1950.0
Gore Rang Pe Na Itna Gumaan Kar,Roti,1974.0
Gori Gori Gaaon Ki Gori Re,Yeh Gulistan Hamara,1972.0
Gori Hain Kalayaan,Aaj Ka Arjun,1990.0
Gori Ke Haath Jaise Ye Chhalla,Mela,1971.0
Gulaabi Aankhen Jo Teri Dekhi,The Train,1970.0
Gum Hai Kisi Ke Pyar Me,Raampur Ka Lakshman,1972.0
Gunja Re Chandan,Nadiya Ke Paar,1982.0
Gup Chup Gup Chup,Karan Arjun,1995.0
Gussa Chhod Dil Na Tod,Maqsad,1984.0
Gussa Itna Haseen Hai To,Maryada,1971.0
Gunguna Rahe Hain Bhanwaren,Aradhana,1969.0
Hanjugam,Bhuj: The Pride Of India,2021.0
Haye Haye Garmi Hai,Maqsad,1984.0
Haal Kaisa Hai Janaab Ka,Chalti Ka Naam Gaadi,1958.0
Haan Jee Haan Maine Sharaab Pee Hai,Seeta Aur Geeta,1972.0
Haayo Rabba Naiyon Lagda Dil Mera,Thappad,2020.0
Hai Kamaal,Thalaivii,2021.0
Hai Na Bolo Bolo,Andaz,1971.0
Hai Preet Jahaan Ki Reet Sada,Purab Aur Paschim,1970.0
Hal-e-Dil Tujh Ko Sunata,Murder 2,2011.0
Hamen Tum Se Pyar Kitna,Kudrat,1981.0
Hamen Tum Se Pyar Kitna,Kudrat,1981.0
Har Kisi Ko Nahi Milta,Janbaaz,1986.0
Hasina Pagal Deewani,Indoo Ki Jawani,2020.0
Hawa Ke Saath Saath,Seeta Aur Geeta,1972.0
Hawa Me Udta Jaaye,Barsaat,1949.0
Hazaar Raahen Mud Ke Dekhin,Thodisi Bewafaii,1980.0
He Man O My He Man,Jugle Love,1990.0
Heelein Toot Gayi,Indoo Ki Jawani,2020.0
Hello (Govinda),Non Filmy,2021.0
Ho Ja Rangeela Re,Rangeela,1995.0
Ho Ke Mayoos Tere Dar Se,Laila Majnu,1976.0
Holi Aayi Re Kanhaiyi,Mohter India,1957.0
Holi,Padmaavat,2018.0
Hone Laga,Antim: The Final Truth,2021.0
Hoye Ishq Na,Tadap,2021.0
Hud Hud Dabangg,Dabangg 3,2019.0
Hum Aap Ke Hain Kaun (Title Song),Hum Aapke Hain Koun,1994.0
Hum Bane Tum Bane Ek Dooje Ke Liye,Ek Duuje Ke Liye,1981.0
Hum Dil De Chuke Sanam (Title Track),Hum Dil De Chuke Sanam,1999.0
Hum Dum,Shiddat,2021.0
Hum Jab Honge Saath Saal Ke,Kal Aaj Aur Kal,1971.0
Hum Jab Simat Ke Aap Ki,Waqt,1965.0
Hum Ko Man Ki Shakti Dena,Guddi,1971.0
Hum Ko To Jaan Se Pyaari Hai-Part 1,Naina,1973.0
Hum Ko To Jaan Se Pyaari Hai,Naina,1973.0
Hum Ne Dekhi Hai Un Aankhon Ki,Khamoshi,1969.0
Hum Ne Gaanv Ke Panghat Pe,Ek Bechara,1972.0
Hum Ne Sanam Ko Khat Likha,Shakti,1982.0
Hum Se Tum Dosti Kar Lo,Narsimha,1991.0
Hum Tere Bin Kahin Rah Nahi Paate,Sadak,1991.0
Hum Tere Ho Gaye (Female),Before You Die,2022.0
Hum Tere Ho Gaye,Before You Die,2022.0
Hum Thay Jin Ke Sahaare,Safar,1970.0
Hum To Mashoor Hue Hai,Dil Hai Ke Manta Nahin,1991.0
Hum To Tamboo Me,Mard,1985.0
Hum To Thay Anjaane,Jugle Love,1990.0
Hum Tujh Se Mohabbat Kar Ke Sanam,Awaara,1951.0
Hum Tum Se Juda Ho Ke,Ek Sapera Ek Lutera,1965.0
Hum Tum Yug Yug Se Ye Geet Milan Ke,Milan,1967.0
Hum Tumhaare Liye Tum Hamaare Liye,Intaqam,1969.0
Hamaare Siwa Tumhare Aur,Apradh,1972.0
Humko Tumse Ho Gaya Hai Pyar,Songs from Amar Akbar Anthony,1977.0
Hungama Ho Gaya,Hungama 2,2021.0
Husn Hai Suhaana,Coolie No. 1,1995.0
Husn Hazir Hai,Laila Majnu,1976.0
Husn Ke Laakhon Rang,Johny Mera Naam,1970.0
HuTuTu,Mimi,2021.0
Huzoor Is Kadar Bhi Na Itra Ke Chaliye,Masoom,1983.0
Hothon Pe Sachchai Rahti Hai,Jis Desh Men Ganga Behti Hai,1960.0
Har Ghadi Badal Rahi Hai Dhoop Zindagi,Kal Ho Naa Ho,2003.0
Hawaon Me Bahenge,Kalank,2019.0
Ichak Daana Beechak Daana,Shree 420,1955.0
Ik Cheez Maangte Hai,Babul Ki Galiyan,1972.0
Ik Din Hasaana Ik Din Rulaana,Benaam,1974.0
Ik Ladki Bheegi Bhaagi Si,Chalti Ka Naam Gaadi,1958.0
Ik Munda,Karan Arjun,1995.0
Ik Raasta Hai Zindagi,Kaala Patthar,1979.0
Ik To Mera Mastaana Shabaab,Gora Aur Kala,1972.0
Ik Zindagi,Angrezi Medium,2020.0
Iktara Bole Tun Tun,Yaadgaar,1970.0
Illegal Weapon 2.0,Streed Dancer 3D,2020.0
Inhi Logon Ne,Pakeezah,1972.0
Is Mod Se Jaate Hain,Aandhi,1975.0
Is Reshmi Paajeb Ki Jhankaar,Laila Majnu,1976.0
Ishq Bina,Taal,1999.0
Ishq Fitoori,Bhavai (2021),2021.0
Ishq Karo Dil Se,Koi Jaane Na,2021.0
Istaar Hai Tu,Toofaan,2021.0
Itna Main Chahoon Tujhe,Raaz,2002.0
Itna To Yaad Hai Mujhe,Mehboob Ki Mehndi,1971.0
Itâs the Time to Disco,Kal Ho Naa Ho,2003.0
Ishwar Satya Hai Satya Hi Shiv Hai,Satyam Shivam Sundaram,1978.0
Jhonka Hawa Ka,Hum Dil De Chuke Sanam,1999.0
Jeenhe Mera Dil Luteya (Remake),Jawaani Jaaneman,2020.0
Ja Ja Ja Ja Bewafa,Aar Paar,1954.0
Ja Re Ja O Harjaayi,Kalicharan,1976.0
Jaagega Insaan Zamaana Dekhega,Aadmi Aur Insaan,1969.0
JaagoJaago Bakre,Pushpa: The Rise,2021.0
Jaan-E-Bahaar Husn Tera,Pyar Kiya To Darna Kya,1963.0
Jaan-E-Jaan Dhoondta Phir Raha,Jawani Diwani,1972.0
Jaana Tha Hum Se Door Bahaane Bana Diye,Adalat,1958.0
Jaane De Ye Bhi Jaane De,Koi Jaane Na,2021.0
Jaane Kaise Kab Kahaan,Shakti,1982.0
Jaane Kya Pilaaya Tune,Jugnu,1973.0
Jaane Kyon Log Pyar Karte Hai,Dil Chahta Hai,2001.0
Jaane Kyoon Log Muhabbat,Mehboob Ki Mehndi,1971.0
Jaane Mujhe Kya Hua Re,Janwar Aur Aur Insaan,1972.0
Jaane Na Nazar Pahchaane Jigar,Aah,1953.0
Jaani O Jaani,Raja Jani,1972.0
Jaanoon Na,Bob Biswas,2021.0
Jaanu Meri Jaan,Shaan,1980.0
Jaata Kahan Hai Deewane,C.I.D.,1956.0
Jaati Hoon Main,Karan Arjun,1995.0
Jab Andhera Hota Hai,Raja Rani,1973.0
